release_date,domestic_total_gross
16-Jun-1960,354.1334
08-May-1963,156.8899
08-Apr-1964,221.3045
11-Apr-1964,97.0842
23-Jun-1964,110.3832
22-Dec-1964,550.29
21-Dec-1965,620.84
13-Jun-1967,298.0031
08-Feb-1968,206.4839
13-Mar-1969,299.6417
18-Dec-1969,133.1185
27-May-1970,101.7404
21-May-1971,62.1187
17-Dec-1971,220.4256
22-Dec-1971,180.9702
15-Mar-1972,652.7653
14-Jun-1972,44.1534
23-May-1973,41.4747
27-Jun-1973,165.8961
25-Dec-1973,186.4827
26-Dec-1973,856.631
06-Jun-1974,169.6795
01-Oct-1974,136.9678
25-Oct-1974,175.5517
12-Dec-1974,211.019
18-Dec-1974,93.0843
21-Mar-1975,80.9756
21-May-1975,169.374
20-Jun-1975,1063.0542
07-Apr-1976,125.5183
25-Jun-1976,237.3994
21-Nov-1976,456.8318
15-Dec-1976,131.8383
22-Dec-1976,180.1684
01-Jan-1977,65.998
25-May-1977,1184.6923
27-May-1977,471.7133
17-Jun-1977,114.4475
24-Jun-1977,104.2152
13-Jul-1977,174.3323
29-Jul-1977,71.1059
07-Oct-1977,155.1588
10-Mar-1978,58.1461
02-Jun-1978,25.1571
09-Jun-1978,94.0608
16-Jun-1978,275.7348
19-Jul-1978,175.8581
25-Oct-1978,166.7094
15-Nov-1978,108.0824
15-Dec-1978,476.0725
25-May-1979,261.0528
15-Jun-1979,281.6781
22-Jun-1979,215.6016
29-Jun-1979,142.3434
29-Jun-1979,232.4929
27-Jul-1979,285.811
07-Dec-1979,272.01
15-Feb-1980,12.4307
21-Mar-1980,26.9981
09-May-1980,122.6629
21-May-1980,654.5566
25-Jun-1980,52.4535
11-Jul-1980,19.1797
15-Aug-1980,204.0523
03-Oct-1980,44.753
20-Mar-1981,61.1196
30-Apr-1981,64.8558
12-Jun-1981,641.0847
12-Jun-1981,2.9856
12-Jun-1981,2.9856
19-Jun-1981,323.0005
19-Jun-1981,0.0
26-Jun-1981,163.6497
26-Jun-1981,93.1697
17-Jul-1981,270.0898
30-Oct-1981,76.2341
19-Mar-1982,297.8189
14-May-1982,111.6985
21-May-1982,66.8176
28-May-1982,350.4827
04-Jun-1982,216.2694
04-Jun-1982,222.7815
16-Jul-1982,60.5219
13-Aug-1982,43.6915
13-Aug-1982,97.6281
24-Sep-1982,35.3874
22-Oct-1982,40.6531
22-Oct-1982,133.2881
19-Nov-1982,37.4805
17-Dec-1982,24.7561
01-Jan-1983,6.3238
25-Mar-1983,29.9708
06-May-1983,2.3773
06-May-1983,15.2751
20-May-1983,1.4126
25-May-1983,672.1621
03-Jun-1983,91.4976
10-Jun-1983,178.8943
17-Jun-1983,157.9651
24-Jun-1983,88.953
22-Jul-1983,119.9338
29-Jul-1983,161.7829
12-Aug-1983,14.9636
12-Aug-1983,11.836
07-Oct-1983,146.0611
07-Oct-1983,28.3713
18-Nov-1983,16.6873
09-Dec-1983,172.7102
23-Mar-1984,200.5806
13-Apr-1984,81.4706
23-May-1984,444.3224
01-Jun-1984,188.9017
22-Jun-1984,224.336
29-Jun-1984,76.6812
13-Jul-1984,63.0768
20-Jul-1984,49.7971
27-Jul-1984,13.3664
26-Oct-1984,94.2087
09-Nov-1984,52.9923
09-Nov-1984,60.5849
16-Nov-1984,56.1958
05-Dec-1984,557.3451
01-Mar-1985,25.1465
22-Mar-1985,47.9738
22-Mar-1985,51.2739
29-Mar-1985,129.9944
29-Mar-1985,26.3078
29-Mar-1985,53.6218
22-May-1985,351.6755
24-May-1985,117.6682
03-Jul-1985,490.1204
12-Jul-1985,84.7073
26-Jul-1985,115.4159
02-Aug-1985,58.2689
16-Aug-1985,33.2886
23-Aug-1985,9.6242
30-Aug-1985,24.5486
01-Nov-1985,67.7366
27-Nov-1985,293.7146
17-Jan-1986,54.0504
07-Mar-1986,13.1995
07-Mar-1986,19.1064
21-Mar-1986,97.4952
23-May-1986,91.7176
20-Jun-1986,257.5102
04-Jul-1986,32.3982
18-Jul-1986,190.5202
01-Aug-1986,43.5628
08-Aug-1986,13.0868
15-Aug-1986,19.2867
22-Aug-1986,17.9555
26-Sep-1986,383.4804
26-Nov-1986,239.6207
09-Jan-1987,4.5581
27-Feb-1987,95.0853
06-Mar-1987,138.4192
13-Mar-1987,12.5732
03-Apr-1987,59.5676
01-May-1987,8.491
20-May-1987,326.1943
22-May-1987,14.4439
22-May-1987,49.9048
05-Jun-1987,47.2476
12-Jun-1987,126.8044
17-Jul-1987,113.4079
17-Jul-1987,44.0749
24-Jul-1987,33.2871
31-Jul-1987,108.6555
07-Aug-1987,5.5362
18-Sep-1987,30.916
15-Jan-1988,18.591
22-Jan-1988,12.5084
18-Mar-1988,39.4005
13-May-1988,38.7131
25-May-1988,108.4768
25-May-1988,220.74
10-Jun-1988,28.5037
08-Jul-1988,29.6481
15-Jul-1988,167.6334
15-Jul-1988,76.5444
19-Aug-1988,99.7008
21-Oct-1988,35.8834
11-Nov-1988,21.199
11-Nov-1988,57.0332
11-Nov-1988,67.1365
02-Dec-1988,161.8082
23-Dec-1988,24.9331
24-Feb-1989,1.8861
10-Mar-1989,24.1834
07-Apr-1989,104.1099
19-May-1989,6.2381
24-May-1989,410.1569
09-Jun-1989,109.1545
23-Jun-1989,522.5233
30-Jun-1989,81.4451
07-Jul-1989,307.861
14-Jul-1989,72.4776
28-Jul-1989,29.9887
11-Aug-1989,46.3469
13-Oct-1989,289.1931
13-Oct-1989,24.3402
22-Nov-1989,243.6114
01-Dec-1989,146.328
12-Jan-1990,11.313
02-Mar-1990,239.4102
09-Mar-1990,51.7732
30-Mar-1990,265.4154
06-Apr-1990,49.1124
25-May-1990,172.1368
22-Jun-1990,89.6344
06-Jul-1990,230.6359
17-Aug-1990,51.2105
09-Nov-1990,55.9251
16-Nov-1990,562.1938
16-Nov-1990,80.3439
21-Nov-1990,60.1788
14-Dec-1990,94.0359
25-Dec-1990,131.3012
08-Feb-1991,34.2519
14-Feb-1991,257.7592
08-Mar-1991,0.7059
22-Mar-1991,155.0716
28-Jun-1991,171.383
03-Jul-1991,403.8479
30-Aug-1991,29.4941
13-Sep-1991,68.7501
11-Oct-1991,27.8834
25-Oct-1991,38.3232
01-Nov-1991,30.6693
06-Dec-1991,148.5346
15-May-1992,289.4631
22-May-1992,110.9471
05-Jun-1992,166.7032
12-Jun-1992,5.0352
19-Jun-1992,325.6634
10-Jul-1992,72.5998
07-Aug-1992,58.0006
11-Sep-1992,25.0699
02-Oct-1992,101.5047
20-Nov-1992,347.3516
11-Dec-1992,54.5904
19-Feb-1993,23.0615
26-Feb-1993,4.0917
19-Mar-1993,84.7514
11-Jun-1993,715.5085
16-Jul-1993,155.7726
13-Aug-1993,31.9471
27-Aug-1993,4.8878
29-Oct-1993,0.1087
05-Nov-1993,20.7305
05-Nov-1993,21.4441
12-Nov-1993,2.9071
25-Dec-1993,11.2114
14-Jan-1994,38.2857
18-Mar-1994,101.5312
25-Mar-1994,90.5661
01-Apr-1994,60.8128
06-May-1994,23.4283
25-May-1994,84.6181
05-Aug-1994,242.6216
12-Aug-1994,17.7016
26-Aug-1994,0.2507
14-Oct-1994,35.9207
11-Nov-1994,286.4101
18-Nov-1994,149.7764
16-Dec-1994,246.656
27-Jan-1995,23.4748
27-Jan-1995,10.5618
10-Mar-1995,0.7889
28-Apr-1995,52.4094
19-May-1995,190.8284
16-Jun-1995,351.1398
21-Jul-1995,57.3885
25-Aug-1995,48.4748
22-Sep-1995,0.0845
29-Sep-1995,28.8432
17-Nov-1995,202.5527
22-Nov-1995,364.1071
02-Feb-1996,0.0
16-Feb-1996,64.4609
08-Mar-1996,17.5331
22-May-1996,339.8528
04-Oct-1996,43.1057
22-Nov-1996,172.1535
20-Dec-1996,187.184
31-Jan-1997,250.0088
14-Feb-1997,65.822
21-Feb-1997,122.2355
14-Mar-1997,82.2232
21-Mar-1997,2.292
25-Apr-1997,1.8224
02-May-1997,97.4373
23-May-1997,414.2526
20-Jun-1997,194.0739
02-Jul-1997,453.3184
08-Aug-1997,6.2323
29-Aug-1997,0.2561
03-Oct-1997,109.4513
26-Nov-1997,86.4279
12-Dec-1997,55.1208
12-Dec-1997,181.776
19-Dec-1997,223.3628
10-Apr-1998,0.6651
17-Apr-1998,6.3222
20-May-1998,241.2385
10-Jul-1998,230.8508
07-Aug-1998,97.4086
21-Aug-1998,124.0358
18-Sep-1998,248.065
16-Oct-1998,56.6767
20-Nov-1998,175.937
04-Dec-1998,37.304
11-Dec-1998,121.9992
31-Mar-1999,280.1739
07-May-1999,253.8779
19-May-1999,704.0542
11-Jun-1999,336.6403
25-Jun-1999,0.0963
09-Jul-1999,167.5701
14-Jul-1999,27.1642
20-Aug-1999,17.4298
22-Oct-1999,55.6553
10-Nov-1999,139.9238
19-Nov-1999,206.2866
19-Nov-1999,397.0431
12-Jan-2000,88.2797
04-Feb-2000,137.2706
18-Feb-2000,60.4262
17-Mar-2000,82.124
24-May-2000,331.7073
02-Jun-2000,181.0285
07-Jul-2000,241.793
14-Jul-2000,242.2241
21-Jul-2000,67.3835
18-Aug-2000,15.4565
01-Sep-2000,19.7288
22-Sep-2000,61.0889
06-Oct-2000,255.5788
17-Nov-2000,117.2166
09-Feb-2001,242.0964
30-Mar-2001,165.2946
06-Apr-2001,25.0058
06-Apr-2001,108.6305
20-Apr-2001,37.593
04-May-2001,296.2481
16-May-2001,392.5123
22-Jun-2001,211.949
04-Jul-2001,104.5697
18-Jul-2001,265.6761
27-Jul-2001,263.9619
03-Aug-2001,331.6543
10-Aug-2001,212.7844
16-Nov-2001,464.0777
07-Dec-2001,266.2204
19-Dec-2001,452.0989
15-Mar-2002,251.982
15-Mar-2002,57.3139
22-Mar-2002,117.6405
19-Apr-2002,130.0673
26-Apr-2002,18.7451
03-May-2002,576.7234
16-May-2002,431.7018
31-May-2002,169.8672
14-Jun-2002,173.8024
03-Jul-2002,272.0269
12-Jul-2002,43.3635
26-Jul-2002,304.7256
07-Aug-2002,122.63
13-Sep-2002,108.2466
04-Oct-2002,133.0713
11-Oct-2002,2.4678
11-Oct-2002,36.1359
25-Oct-2002,91.7773
01-Nov-2002,198.6043
01-Nov-2002,12.0865
15-Nov-2002,372.8018
22-Nov-2002,228.9475
22-Nov-2002,47.4373
13-Dec-2002,61.0904
18-Dec-2002,475.5839
31-Jan-2003,64.6398
02-May-2003,295.8677
15-May-2003,387.5762
16-May-2003,1.0273
06-Jun-2003,175.0225
13-Jun-2003,54.2357
13-Jun-2003,36.1683
02-Jul-2003,206.9785
09-Jul-2003,420.3858
25-Jul-2003,153.8276
01-Aug-2003,143.9288
15-Aug-2003,113.726
15-Aug-2003,113.726
12-Sep-2003,77.5765
19-Sep-2003,71.5191
17-Oct-2003,110.8873
24-Oct-2003,151.3783
05-Nov-2003,191.692
17-Dec-2003,510.7665
06-Feb-2004,87.0247
07-May-2004,0.5513
19-May-2004,589.7227
04-Jun-2004,333.5251
11-Jun-2004,77.2007
30-Jun-2004,499.3176
02-Jul-2004,7.7796
23-Jul-2004,235.5568
30-Jul-2004,24.3928
13-Aug-2004,107.3015
13-Aug-2004,107.3015
20-Aug-2004,55.8973
20-Aug-2004,5.1021
27-Aug-2004,0.3285
10-Sep-2004,68.4335
29-Oct-2004,73.7578
12-Nov-2004,22.8333
24-Nov-2004,4.3797
08-Dec-2004,69.7456
10-Dec-2004,166.6303
22-Dec-2004,366.6361
11-Feb-2005,5.9086
25-Feb-2005,65.5624
30-Mar-2005,47.0696
15-Apr-2005,84.4675
19-May-2005,492.394
20-May-2005,0.3257
27-May-2005,250.6775
15-Jun-2005,265.8897
22-Jun-2005,85.491
22-Jul-2005,42.5596
02-Sep-2005,55.8027
21-Oct-2005,2.6189
28-Oct-2005,112.7019
18-Nov-2005,374.9547
09-Dec-2005,374.9626
20-Jan-2006,78.969
27-Jan-2006,88.9126
10-Feb-2006,104.1954
10-Feb-2006,68.5517
24-Feb-2006,80.1589
31-Mar-2006,247.5182
14-Apr-2006,114.9463
05-May-2006,169.8393
19-May-2006,275.6565
26-May-2006,296.9784
06-Jun-2006,69.1971
16-Jun-2006,79.2167
28-Jun-2006,253.538
07-Jul-2006,536.4155
11-Aug-2006,82.7822
22-Sep-2006,92.2234
06-Oct-2006,50.0745
27-Oct-2006,101.6766
03-Nov-2006,106.9889
17-Nov-2006,211.0581
22-Nov-2006,1.6403
23-Nov-2006,3.3453
20-Dec-2006,87.0458
22-Dec-2006,307.4453
09-Feb-2007,33.3821
23-Mar-2007,65.3252
04-May-2007,405.9886
18-May-2007,389.3278
25-May-2007,373.2834
08-Jun-2007,141.3349
27-Jun-2007,162.2957
03-Jul-2007,385.1371
11-Jul-2007,352.2731
03-Aug-2007,274.4201
10-Aug-2007,169.0473
31-Aug-2007,70.2991
21-Sep-2007,61.1023
26-Oct-2007,76.3649
14-Dec-2007,256.892
25-Dec-2007,49.1653
25-Dec-2007,49.1653
25-Jan-2008,49.4233
14-Feb-2008,67.0679
25-Apr-2008,44.0533
02-May-2008,368.0698
02-May-2008,368.0698
16-May-2008,163.7129
22-May-2008,366.5654
06-Jun-2008,249.04
13-Jun-2008,155.8353
18-Jul-2008,616.4329
01-Aug-2008,118.4794
15-Aug-2008,40.6464
24-Oct-2008,65.5986
07-Nov-2008,208.0906
14-Nov-2008,194.632
21-Nov-2008,222.8398
26-Nov-2008,36.6623
23-Jan-2009,52.947
29-Jan-2009,0.0
30-Jan-2009,167.6195
06-Feb-2009,39.9679
13-Feb-2009,75.1416
20-Feb-2009,104.6266
13-Mar-2009,77.6508
03-Apr-2009,179.2526
01-May-2009,200.138
08-May-2009,286.7485
15-May-2009,154.181
21-May-2009,139.4339
22-May-2009,197.1972
05-Jun-2009,308.4769
24-Jun-2009,447.3777
01-Jul-2009,218.6758
03-Jul-2009,0.1184
15-Jul-2009,335.9103
28-Aug-2009,37.1161
28-Aug-2009,73.8918
25-Sep-2009,117.698
02-Oct-2009,35.4917
23-Oct-2009,0.1117
23-Oct-2009,30.2042
20-Nov-2009,322.9536
23-Dec-2009,234.9225
19-Mar-2010,10.6657
19-Mar-2010,66.8214
26-Mar-2010,227.1603
30-Apr-2010,65.8519
07-May-2010,326.1883
07-May-2010,326.1883
21-May-2010,249.2472
11-Jun-2010,184.3661
18-Jun-2010,433.2755
30-Jun-2010,313.7627
09-Jul-2010,270.534
09-Jul-2010,54.29
09-Jul-2010,8.2113
06-Aug-2010,44.2669
13-Aug-2010,107.6061
10-Sep-2010,62.7757
15-Oct-2010,121.474
22-Oct-2010,87.8214
29-Oct-2010,47.7226
29-Oct-2010,5.3823
19-Nov-2010,307.0103
10-Dec-2010,108.1662
22-Dec-2010,153.8128
14-Jan-2011,0.0154
21-Jan-2011,0.1411
18-Feb-2011,40.0379
25-Mar-2011,55.0061
01-Apr-2011,55.6243
08-Apr-2011,34.8847
15-Apr-2011,4.8864
15-Apr-2011,39.3178
22-Apr-2011,54.9407
29-Apr-2011,216.115
06-May-2011,186.4758
06-May-2011,186.4758
20-May-2011,248.3983
26-May-2011,262.1754
26-May-2011,170.3261
03-Jun-2011,150.9343
29-Jun-2011,367.3654
15-Jul-2011,398.3162
22-Jul-2011,184.6899
22-Jul-2011,184.6899
29-Jul-2011,149.1411
05-Aug-2011,184.8159
12-Aug-2011,44.5207
19-Aug-2011,21.9291
19-Aug-2011,40.2855
19-Aug-2011,19.1359
21-Oct-2011,110.2721
28-Oct-2011,158.1654
04-Nov-2011,37.1624
18-Nov-2011,298.0774
23-Nov-2011,93.8455
16-Dec-2011,220.6784
16-Dec-2011,140.3922
20-Jan-2012,66.0619
23-Mar-2012,421.9579
06-Apr-2012,58.2753
04-May-2012,637.1762
04-May-2012,637.1762
25-May-2012,182.9893
08-Jun-2012,129.2808
08-Jun-2012,221.1883
29-Jun-2012,67.1086
03-Jul-2012,279.5443
13-Jul-2012,172.0103
20-Jul-2012,478.0918
27-Jul-2012,37.4161
03-Aug-2012,52.2843
10-Aug-2012,120.7702
17-Aug-2012,90.7113
14-Sep-2012,45.1758
05-Oct-2012,0.1035
05-Oct-2012,144.1976
12-Oct-2012,3.559
19-Oct-2012,26.6924
19-Oct-2012,55.5748
09-Nov-2012,313.8125
16-Nov-2012,301.4031
30-Nov-2012,0.0056
14-Dec-2012,314.0321
14-Dec-2012,314.0321
04-Jan-2013,35.4085
14-Feb-2013,70.4028
05-Apr-2013,56.6991
12-Apr-2013,31.7101
03-May-2013,405.1093
03-May-2013,405.1093
16-May-2013,226.5946
23-May-2013,111.1289
24-May-2013,8.2434
24-May-2013,236.4013
07-Jun-2013,63.8576
14-Jun-2013,288.267
03-Jul-2013,389.221
12-Jul-2013,0.0216
26-Jul-2013,140.236
31-Jul-2013,75.0972
06-Sep-2013,44.2597
13-Sep-2013,87.1465
25-Oct-2013,101.4397
08-Nov-2013,205.3492
08-Nov-2013,205.3492
15-Nov-2013,70.1268
22-Nov-2013,424.2516
13-Dec-2013,53.0189
13-Dec-2013,261.5753
13-Dec-2013,261.5753
20-Dec-2013,8.0946
03-Jan-2014,33.849
10-Jan-2014,0.1824
17-Jan-2014,52.733
07-Feb-2014,268.1888
12-Feb-2014,61.0443
21-Mar-2014,153.5889
21-Mar-2014,52.0102
04-Apr-2014,258.8311
04-Apr-2014,258.8311
02-May-2014,202.1234
16-May-2014,199.9533
23-May-2014,233.0791
13-Jun-2014,178.4707
27-Jun-2014,252.1218
11-Jul-2014,214.2238
18-Jul-2014,73.9222
01-Aug-2014,341.7643
08-Aug-2014,14.8507
08-Aug-2014,196.4108
15-Aug-2014,40.3932
12-Sep-2014,0.8698
14-Nov-2014,86.0317
21-Nov-2014,0.0028
21-Nov-2014,334.4606
26-Nov-2014,81.3149
17-Dec-2014,250.0009
17-Dec-2014,250.0009
19-Dec-2014,108.8003
09-Jan-2015,76.8782
20-Mar-2015,0.0
03-Apr-2015,0.0
01-May-2015,0.0
01-May-2015,0.0
15-May-2015,0.0
05-Jun-2015,0.0
12-Jun-2015,0.0
19-Jun-2015,0.0
01-Jul-2015,0.0
10-Jul-2015,0.0
17-Jul-2015,0.0
31-Jul-2015,0.0
09-Oct-2015,0.0
23-Oct-2015,0.0
06-Nov-2015,0.0
20-Nov-2015,0.0
18-Dec-2015,0.0
23-Dec-2015,0.0
18-Mar-2016,0.0
18-Mar-2016,0.0
25-Mar-2016,0.0
25-Mar-2016,0.0
25-Mar-2016,0.0
15-Apr-2016,0.0
06-May-2016,0.0
06-May-2016,0.0
13-May-2016,0.0
27-May-2016,0.0
03-Jun-2016,0.0
01-Jul-2016,0.0
08-Jul-2016,0.0
15-Jul-2016,0.0
29-Jul-2016,0.0
05-Aug-2016,0.0
23-Sep-2016,0.0
14-Oct-2016,0.0
04-Nov-2016,0.0
11-Nov-2016,0.0
16-Dec-2016,0.0
03-Mar-2017,0.0
24-Mar-2017,0.0
05-May-2017,0.0
19-May-2017,0.0
26-May-2017,0.0
16-Jun-2017,0.0
30-Jun-2017,0.0
07-Jul-2017,0.0
14-Jul-2017,0.0
28-Jul-2017,0.0
28-Jul-2017,0.0
03-Nov-2017,0.0
29-Jan-2018,0.0
04-May-2018,0.0
04-May-2018,0.0
08-Jun-2018,0.0
29-Jun-2018,0.0
29-Jun-2018,0.0
06-Jul-2018,0.0
02-Nov-2018,0.0
03-May-2019,0.0
03-May-2019,0.0
